"Voor","Achter","Kennistoetsen","Schriftelijk","Schriftelijk.Voldoende","Schriftelijk.Bonus","Schriftelijk.Bonus.Voldoende","Clicks","Weblectures","BEC.Propedeuse","AEC.Propedeuse","Vooropleiding"
"ANTON","Entwistle",0,6,100,6,100,536,5.5,1,1,"HAVO"
"CHRISTEN","Hardaway",4.6,2.2,0,2.2,0,636,0.8,0,0,"MBO"
"KYLEE","Mauzey",5.3,8.8,100,8.8,100,666,3.6,1,1,"MBO"
"KAI","Tredwell",5,4.8,0,4.8,0,479,1.2,1,1,"HAVO"
"NELL","Darden",6.7,9.2,100,10,100,298,0,1,1,"HAVO"
"KIRSTIE","Tinklenberg",7.7,7.4,100,8.6,100,863,0,1,1,"MBO"
"ELIN","Vollstedt",3.8,5,0,5,0,434,0,1,1,"HAVO"
"NIKIA","Orange",4.8,5.8,100,5.8,100,428,0,0,1,"HAVO"
"THERESIA","Muscolino",4.5,3.2,0,3.2,0,441,0,0,0,"HAVO"
"MARIO","Beliveau",4.1,6.6,100,6.6,100,1058,1.2,1,1,"MBO"
"MOSES","Debeer",4,4,0,4,0,345,0,1,1,"HAVO"
"BRYANT","Conway",4.8,6.2,100,8,100,320,0,1,1,"HAVO"
"LEZLIE","Pergola",5.9,6.8,100,6.8,100,1042,2.5,1,1,"MBO"
"SANDI","Heil",3.2,3,0,3,0,203,0,1,1,"VWO"
"ARNETTA","Rydzewski",4.1,5.2,0,5.2,0,268,0,1,1,"HAVO"
"LAVINA","Lamorella",7.2,9.6,100,9.6,100,742,0,1,1,"MBO"
"IGNACIA","Pugeda",4.5,6.8,100,6.8,100,331,0,1,1,"HAVO"
"ARLETHA","Zapico",8.3,7.2,100,8.6,100,383,0,1,1,"HAVO"
"WILTON","Haymes",6,8.6,100,10,100,710,4.4,1,0,"MBO"
"ALTHA","Samuels",2.8,1.6,0,1.6,0,502,0,1,1,"HAVO"
"GEORGIANN","Veleta",4.5,4.8,0,4.8,0,378,0,1,1,"VWO"
"EMMETT","Delbridge",6.5,7.8,100,9,100,448,1.6,1,1,"VWO"
"ROMAINE","Oakeson",6.7,7.4,100,9,100,533,0,1,1,"MBO"
"MAMIE","Busack",5.6,8.6,100,8.6,100,799,6.8,1,1,"HAVO"
"ALLYSON","Ernst",5.4,6.8,100,6.8,100,357,0,1,1,"VWO"
"ROXANA","Heling",0,3.8,0,3.8,0,173,1.1,NA,NA,NA
"JERRY","Allvin",3.2,0.8,0,0.8,0,352,0,0,1,"HAVO"
"VADA","Hedeiros",7.2,9.6,100,10,100,697,1.6,1,1,"MBO"
"MARINE","Stupke",3.8,5.6,100,5.6,100,217,0,1,1,"MBO"
"HONG","Gonthier",0,1.2,0,1.2,0,106,0,1,1,"HAVO"
"RHETT","Kreitner",5,7,100,7,100,478,0,1,1,"MBO"
"DEDRA","Meserve",5.1,6.6,100,6.6,100,276,0,1,1,"HAVO"
"MALIK","Laditka",5.9,7.8,100,7.8,100,888,2.9,1,1,"HAVO"
"KELSEY","Crathers",1.2,1.8,0,1.8,0,194,0,0,0,"HAVO"
"SHANDI","Siner",4.2,4.2,0,5.8,100,301,0,1,1,"HAVO"
"MYRLE","Pachla",6.7,8,100,9.6,100,1011,1.8,1,1,"MBO"
"VERTIE","Schnoor",5.5,5.6,100,5.6,100,383,0,1,1,"HAVO"
"DAISY","Brevo",5.5,5.2,0,5.2,0,357,0,1,1,"HAVO"
"HERMINA","Racano",3.1,3.2,0,3.2,0,226,0,0,1,"HAVO"
"CATHARINE","Houck",5.2,3,0,3,0,302,0,0,1,"HAVO"
