"","Voor","Achter","Kennistoetsen","Schriftelijk","Schriftelijk.Voldoende","Schriftelijk.Bonus","Schriftelijk.Bonus.Voldoende","Rekentoets","Clicks","Weblectures","BEC.Propedeuse","AEC.Propedeuse","Vooropleiding"
"1","ANTON","Entwistle",0,6,100,6,100,NA,536,5.5,1,1,"HAVO"
"2","CHRISTEN","Hardaway",4.6,2.2,0,2.2,0,5,636,0.8,0,0,"MBO"
"3","KYLEE","Mauzey",5.3,8.8,100,8.8,100,642.857,666,3.6,1,1,"MBO"
"4","KAI","Tredwell",5,4.8,0,4.8,0,428.571,479,1.2,1,1,"HAVO"
"5","NELL","Darden",6.7,9.2,100,10,100,714.286,298,0,1,1,"HAVO"
"6","KIRSTIE","Tinklenberg",7.7,7.4,100,8.6,100,928.571,863,0,1,1,"MBO"
"7","ELIN","Vollstedt",3.8,5,0,5,0,642.857,434,0,1,1,"HAVO"
"8","NIKIA","Orange",4.8,5.8,100,5.8,100,5,428,0,0,1,"HAVO"
"9","THERESIA","Muscolino",4.5,3.2,0,3.2,0,642.857,441,0,0,0,"HAVO"
"10","MARIO","Beliveau",4.1,6.6,100,6.6,100,642.857,1058,1.2,1,1,"MBO"
"11","MOSES","Debeer",4,4,0,4,0,714.286,345,0,1,1,"HAVO"
"12","BRYANT","Conway",4.8,6.2,100,8,100,714.286,320,0,1,1,"HAVO"
"13","LEZLIE","Pergola",5.9,6.8,100,6.8,100,357.143,1042,2.5,1,1,"MBO"
"14","SANDI","Heil",3.2,3,0,3,0,857.143,203,0,1,1,"VWO"
"15","ARNETTA","Rydzewski",4.1,5.2,0,5.2,0,571.429,268,0,1,1,"HAVO"
"16","LAVINA","Lamorella",7.2,9.6,100,9.6,100,714.286,742,0,1,1,"MBO"
"17","IGNACIA","Pugeda",4.5,6.8,100,6.8,100,642.857,331,0,1,1,"HAVO"
"18","ARLETHA","Zapico",8.3,7.2,100,8.6,100,642.857,383,0,1,1,"HAVO"
"19","WILTON","Haymes",6,8.6,100,10,100,642.857,710,4.4,1,0,"MBO"
"20","ALTHA","Samuels",2.8,1.6,0,1.6,0,5,502,0,1,1,"HAVO"
